Date,Clicks,Impressions,CTR,Position
2025-09-07,0,0,,
2025-09-08,0,0,,
2025-09-09,0,0,,
2025-09-10,0,0,,
2025-09-11,0,0,,
2025-09-12,0,0,,
2025-09-13,0,0,,
2025-09-14,0,0,,
2025-09-15,0,0,,
2025-09-16,0,0,,
2025-09-17,0,0,,
2025-09-18,0,0,,
2025-09-19,0,0,,
2025-09-20,0,0,,
2025-09-21,0,0,,
2025-09-22,0,0,,
2025-09-23,0,0,,
2025-09-24,0,0,,
2025-09-25,0,0,,
2025-09-26,0,0,,
2025-09-27,0,0,,
2025-09-28,0,0,,
2025-09-29,0,0,,
2025-09-30,0,0,,
2025-10-01,0,0,,
2025-10-02,0,0,,
2025-10-03,0,0,,
2025-10-04,0,0,,
2025-10-05,0,0,,
2025-10-06,0,0,,
2025-10-07,0,0,,
2025-10-08,0,0,,
2025-10-09,0,0,,
2025-10-10,0,0,,
2025-10-11,0,0,,
2025-10-12,0,0,,
2025-10-13,0,0,,
2025-10-14,0,0,,
2025-10-15,0,0,,
2025-10-16,0,0,,
2025-10-17,0,0,,
2025-10-18,0,0,,
2025-10-19,0,1,0%,1
2025-10-20,0,0,,
2025-10-21,0,0,,
2025-10-22,0,0,,
2025-10-23,0,0,,
2025-10-24,0,0,,
2025-10-25,0,0,,
2025-10-26,0,0,,
2025-10-27,0,0,,
2025-10-28,0,0,,
2025-10-29,0,0,,
2025-10-30,0,0,,
2025-10-31,0,0,,
2025-11-01,0,1,0%,1
2025-11-02,0,2,0%,6.5
2025-11-03,0,30,0%,38.7
2025-11-04,0,42,0%,45.2
2025-11-05,0,22,0%,58.5
2025-11-06,1,27,3.7%,51.3
2025-11-07,0,31,0%,59.5
2025-11-08,0,27,0%,62.1
2025-11-09,0,17,0%,28.2
2025-11-10,0,12,0%,34.5
2025-11-11,0,25,0%,38.8
2025-11-12,0,46,0%,43.8
2025-11-13,0,40,0%,54.4
2025-11-14,0,55,0%,59.9
2025-11-15,0,46,0%,72.3
2025-11-16,0,31,0%,68
2025-11-17,0,41,0%,60.1
2025-11-18,0,38,0%,68.9
2025-11-19,0,62,0%,65.8
2025-11-20,0,39,0%,68.4
2025-11-21,0,44,0%,68
2025-11-22,0,32,0%,68.2
2025-11-23,0,71,0%,57.1
2025-11-24,0,40,0%,65.3
2025-11-25,0,61,0%,53.1
2025-11-26,2,52,3.85%,60.3
2025-11-27,0,38,0%,59.2
2025-11-28,0,39,0%,58.7
2025-11-29,0,36,0%,68.5
2025-11-30,0,55,0%,64.9
2025-12-01,0,62,0%,67.8
2025-12-02,0,52,0%,50.7
2025-12-03,1,40,2.5%,72.7
2025-12-04,0,50,0%,71.6
2025-12-05,1,36,2.78%,65.5
2025-12-06,0,66,0%,70.3
2025-12-07,1,46,2.17%,68.6
2025-12-08,0,75,0%,67.6
2025-12-09,1,57,1.75%,54.8
2025-12-10,0,65,0%,65
2025-12-11,1,65,1.54%,58.4
2025-12-12,1,46,2.17%,55.3
2025-12-13,1,60,1.67%,62.5
2025-12-14,0,75,0%,71.3
2025-12-15,1,65,1.54%,71.5
2025-12-16,0,48,0%,64.1
2025-12-17,0,50,0%,67.4
2025-12-18,1,75,1.33%,70
2025-12-19,1,62,1.61%,53.8
2025-12-20,0,80,0%,70
2025-12-21,0,90,0%,71.6
2025-12-22,0,79,0%,74.1
2025-12-23,0,99,0%,70.8
2025-12-24,0,101,0%,77.4
2025-12-25,0,57,0%,75.1
2025-12-26,1,62,1.61%,72.5
2025-12-27,0,83,0%,72.1
2025-12-28,0,80,0%,74.9
2025-12-29,2,103,1.94%,70.7
2025-12-30,0,101,0%,59.3
2025-12-31,1,89,1.12%,66.3
2026-01-01,0,108,0%,68
2026-01-02,0,51,0%,69.3
2026-01-03,0,67,0%,65.2
2026-01-04,0,109,0%,57.4
2026-01-05,1,80,1.25%,68.8
2026-01-06,1,86,1.16%,53.9
2026-01-07,0,137,0%,46.4
2026-01-08,1,288,0.35%,74.2
2026-01-09,0,172,0%,58
2026-01-10,1,185,0.54%,76.1
2026-01-11,1,201,0.5%,64.8
2026-01-12,1,107,0.93%,64.7
2026-01-13,0,149,0%,60.5
2026-01-14,0,111,0%,67.8
2026-01-15,2,120,1.67%,35.2
2026-01-16,0,160,0%,70.8
2026-01-17,1,207,0.48%,67.3
2026-01-18,0,198,0%,55.9
2026-01-19,0,312,0%,48.7
2026-01-20,1,238,0.42%,43.3
2026-01-21,0,258,0%,27.5
2026-01-22,5,173,2.89%,25.5
2026-01-23,1,84,1.19%,29.5
2026-01-24,0,65,0%,46.2
2026-01-25,0,68,0%,44.8
2026-01-26,0,56,0%,40.8
2026-01-27,0,66,0%,40.2
2026-01-28,1,114,0.88%,40.7
2026-01-29,0,82,0%,34.3
2026-01-30,1,132,0.76%,34.3
2026-01-31,0,111,0%,34.4
2026-02-01,1,145,0.69%,36.1
2026-02-02,2,140,1.43%,46
2026-02-03,1,152,0.66%,39.4
2026-02-04,0,134,0%,35.1
2026-02-05,1,110,0.91%,42.1
2026-02-06,0,84,0%,29.3
2026-02-07,0,87,0%,45.6
2026-02-08,0,79,0%,34.8
2026-02-09,0,82,0%,49.5
2026-02-10,0,120,0%,33.3
2026-02-11,1,89,1.12%,39.9
2026-02-12,1,128,0.78%,46.4
2026-02-13,1,86,1.16%,34.6
2026-02-14,0,77,0%,51.4
2026-02-15,1,97,1.03%,48.3
2026-02-16,0,94,0%,40.2
2026-02-17,0,79,0%,43.8
2026-02-18,2,101,1.98%,40.6
2026-02-19,1,76,1.32%,31.9
2026-02-20,0,71,0%,28.7
