Country,Clicks,Impressions,CTR,Position
India,12,84,14.29%,34.2
United States,9,6432,0.14%,58.94
Philippines,3,214,1.4%,54.82
United Kingdom,2,883,0.23%,44.13
Canada,2,166,1.2%,49.82
Vietnam,2,38,5.26%,16.5
New Zealand,1,148,0.68%,57.05
Germany,1,118,0.85%,54.08
Spain,1,100,1%,19.01
Brazil,1,52,1.92%,31.6
Belgium,1,32,3.12%,46.16
Pakistan,1,29,3.45%,43.03
Thailand,1,26,3.85%,35.69
South Korea,1,22,4.55%,16.32
Bangladesh,1,17,5.88%,33.41
Egypt,1,17,5.88%,34.24
Iran,1,4,25%,1
China,1,3,33.33%,5.33
Armenia,1,3,33.33%,24.33
Macedonia,1,3,33.33%,30.33
Finland,1,3,33.33%,33.67
Czechia,1,2,50%,6.5
Moldova,1,2,50%,6.5
Australia,0,165,0%,63.46
Netherlands,0,106,0%,53.72
France,0,99,0%,28.71
Indonesia,0,78,0%,70.68
Italy,0,64,0%,39.69
Switzerland,0,46,0%,52.54
Turkey,0,33,0%,48.42
Poland,0,26,0%,41
Mexico,0,25,0%,20.36
Japan,0,24,0%,15.62
Saudi Arabia,0,24,0%,24
Singapore,0,20,0%,50.25
Israel,0,20,0%,53.7
Austria,0,20,0%,55.7
Ireland,0,18,0%,50.28
Trinidad & Tobago,0,18,0%,52.61
Sweden,0,18,0%,53.17
United Arab Emirates,0,17,0%,58.53
Portugal,0,15,0%,45.53
Malaysia,0,14,0%,58.79
Denmark,0,13,0%,53.92
Norway,0,12,0%,20.33
Peru,0,11,0%,21.82
Colombia,0,11,0%,23.82
Morocco,0,10,0%,25.9
Nigeria,0,10,0%,38
Russia,0,10,0%,43.2
Ukraine,0,9,0%,23.33
Oman,0,9,0%,31.56
South Africa,0,9,0%,45.78
Argentina,0,8,0%,15.5
Romania,0,7,0%,22.71
Algeria,0,7,0%,26.14
Jamaica,0,6,0%,8
Barbados,0,6,0%,13
Tunisia,0,6,0%,20.33
Kenya,0,6,0%,28.33
Croatia,0,5,0%,10.2
Puerto Rico,0,5,0%,17.2
Ethiopia,0,5,0%,21.2
Ecuador,0,5,0%,23.8
Greece,0,5,0%,28
Estonia,0,5,0%,43.8
Belize,0,5,0%,44.4
Iceland,0,5,0%,79
Georgia,0,4,0%,6.75
Costa Rica,0,4,0%,10
Venezuela,0,4,0%,20
Chile,0,4,0%,37.5
Namibia,0,4,0%,97.75
Azerbaijan,0,3,0%,3.67
Bahamas,0,3,0%,5.67
Slovakia,0,3,0%,7
Dominican Republic,0,3,0%,7.33
Cyprus,0,3,0%,8.67
Panama,0,3,0%,9
Albania,0,3,0%,20
Isle of Man,0,3,0%,28
Luxembourg,0,3,0%,61
Botswana,0,2,0%,1
Serbia,0,2,0%,6.5
Ghana,0,2,0%,7
Turks & Caicos Islands,0,2,0%,9
Taiwan,0,2,0%,13.5
Palestine,0,2,0%,15
Lithuania,0,2,0%,20.5
Sri Lanka,0,2,0%,34
Congo - Brazzaville,0,2,0%,69
Cambodia,0,2,0%,74.5
Angola,0,2,0%,84.5
Qatar,0,2,0%,85
Nepal,0,2,0%,93
Bhutan,0,1,0%,1
Mozambique,0,1,0%,1
Guyana,0,1,0%,5
Kazakhstan,0,1,0%,5
Uruguay,0,1,0%,6
US Virgin Islands,0,1,0%,7
Aruba,0,1,0%,8
Iraq,0,1,0%,8
St. Kitts & Nevis,0,1,0%,8
Hungary,0,1,0%,9
Malta,0,1,0%,9
Unknown Region,0,1,0%,9
Bulgaria,0,1,0%,10
Curaçao,0,1,0%,10
Dominica,0,1,0%,10
Gambia,0,1,0%,10
St. Lucia,0,1,0%,10
Slovenia,0,1,0%,10
Cape Verde,0,1,0%,11
Honduras,0,1,0%,11
Lebanon,0,1,0%,11
Senegal,0,1,0%,11
Sierra Leone,0,1,0%,11
San Marino,0,1,0%,11
Andorra,0,1,0%,12
Jordan,0,1,0%,12
El Salvador,0,1,0%,16
Uzbekistan,0,1,0%,18
Syria,0,1,0%,33
Paraguay,0,1,0%,40
Zambia,0,1,0%,47
Montenegro,0,1,0%,60
Bahrain,0,1,0%,81
Congo - Kinshasa,0,1,0%,84
Myanmar (Burma),0,1,0%,88
Latvia,0,1,0%,94
Bosnia & Herzegovina,0,1,0%,95
